City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sosnogorsk,63.6023,53.8817,-9.14,99,96,1.34,RU,1698721554
1,susuman,62.7833,148.1667,-13.34,94,82,0.45,RU,1698721554
2,adamstown,-25.066,-130.1015,23.0,76,100,3.06,PN,1698721376
3,auki,-8.7676,160.7034,27.86,82,98,0.78,SB,1698721554
4,papatowai,-46.5619,169.4708,14.9,66,100,2.51,NZ,1698721554
5,lichinga,-13.3128,35.2406,20.05,77,100,5.36,MZ,1698721555
6,montagu,-40.7667,144.9667,12.49,58,32,7.59,AU,1698721555
7,malpe,13.35,74.7167,25.61,81,100,1.95,IN,1698721555
8,port-aux-francais,-49.35,70.2167,3.8,89,100,17.02,TF,1698721555
9,san patricio,28.017,-97.5169,8.43,72,100,6.04,US,1698721476
10,mejit,10.2753,170.8646,28.23,79,98,8.56,MH,1698721556
11,waitangi,-43.9535,-176.5597,14.34,83,100,5.81,NZ,1698721465
12,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,62,0,5.36,RU,1698721556
13,tukrah,32.5341,20.5791,19.95,86,5,2.46,LY,1698721556
14,tolanaro,-25.0319,46.9987,24.04,88,75,0.0,MG,1698721478
15,ivdel',60.6911,60.4206,-4.43,65,97,4.02,RU,1698721556
16,edinburgh of the seven seas,-37.0676,-12.3116,13.83,95,100,12.36,SH,1698721376
17,smithers,54.7804,-127.1743,-2.82,86,20,1.03,CA,1698721552
18,ta`u,-14.2336,-169.5144,26.97,78,30,10.53,AS,1698721557
19,codrington,-38.2667,141.9667,13.95,50,81,7.04,AU,1698721557
20,ushuaia,-54.8,-68.3,2.81,70,75,6.69,AR,1698721468
21,sisimiut,66.9395,-53.6735,-1.44,61,84,4.53,GL,1698721557
22,dzhalagash,45.0833,64.6667,6.75,68,6,5.42,KZ,1698721558
23,west island,-12.1568,96.8225,27.99,78,75,6.69,CC,1698721409
24,tazovsky,67.4667,78.7,-17.06,97,34,2.55,RU,1698721558
25,bel ombre,-4.6167,55.4167,26.91,78,40,2.06,SC,1698721558
26,ribeira grande,38.5167,-28.7,19.87,84,41,8.94,PT,1698721558
27,praia da vitoria,38.7333,-27.0667,19.31,77,40,7.14,PT,1698721558
28,enewetak,11.3474,162.3373,28.33,80,100,7.67,MH,1698721394
29,bilibino,68.0546,166.4372,-15.73,78,70,1.25,RU,1698721392
30,hithadhoo,-0.6,73.0833,26.99,80,100,4.88,MV,1698721477
31,grytviken,-54.2811,-36.5092,2.74,82,88,2.98,GS,1698721458
32,suixi,33.8907,116.7747,26.88,33,0,5.82,CN,1698721322
33,angaur state,6.906,134.13,28.53,73,22,2.15,PW,1698721559
34,bethel,41.3712,-73.414,9.45,77,100,2.57,US,1698721421
35,port alfred,-33.5906,26.891,14.3,80,21,6.8,ZA,1698721559
36,yampil',51.95,33.7833,9.56,85,100,3.05,UA,1698721560
37,robertsport,6.7533,-11.3686,26.17,84,1,2.66,LR,1698721560
38,avarua,-21.2078,-159.775,24.03,73,75,6.17,CK,1698721560
